Player Name,Team,FG,FGA,XPT,fpts
Harrison Butker,KC,30.1,34.2,50.5,140.9
Justin Tucker,BAL,28.7,32.8,47.5,133.8
Tyler Bass,BUF,27.9,33.3,48.5,132.1
Greg Zuerlein,DAL,29.3,36.2,43.9,131.9
Jason Myers,SEA,27.5,31.4,44.6,127.1
Jason Sanders,MIA,29.7,34.5,37.2,126.3
Ryan Succop,TB,26.7,31.7,46.2,126.2
Younghoe Koo,ATL,30,34.1,35.6,125.7
Mason Crosby,GB,24.3,27.3,51.2,124.1
Robbie Gould,SF,26.9,33.9,43.3,124
Rodrigo Blankenship,IND,28,34.1,39.4,123.5
Matt Gay,LAR,28.4,33.5,38.1,123.3
Cody Parkey,CLE,26.9,31.9,42.4,123
Daniel Carlson,LV,27.9,34,38.8,122.6
Tucker McCann,TEN,25,30,47,122
Matt Prater,ARI,26.4,31.6,42.3,121.4
Graham Gano,NYG,29.7,32.8,32.2,121.4
Michael Badgley,LAC,27,35.1,39.5,120.5
Cairo Santos,CHI,27.3,33.1,36.1,118.1
Greg Joseph,MIN,24.7,29.9,43.8,118
Nick Folk,NE,27,31.2,36.1,117
Brandon McManus,DEN,27.6,31.9,33.7,116.5
Evan McPherson,CIN,26.9,32.6,35.5,116.2
Ka'imi Fairbairn,HOU,27.2,32.3,34.3,116
Chris Boswell,PIT,25.6,29.1,37.5,114.2
Joey Slye,CAR,26.7,33.1,32.7,112.7
Dustin Hopkins,WAS,25.8,31.8,33.7,111
Randy Bullock,DET,26,31.5,32.6,110.5
Josh Lambo,JAC,26,28.4,32.4,110.3
Sam Ficken,TEN,23.9,29,37.2,108.9
Austin Seibert,CIN,25.3,33.7,27.9,103.8
Jake Elliott,PHI,22.1,27.4,33.8,100.1
Chris Naggar,NYJ,21,25,26,89
Brett Maher,NO,16.9,20.4,29.9,80.6
Wil Lutz,NO,14.8,18,23.7,68.1
Chase McLaughlin,CLE,0,0,0,0