Player Name,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Cam Newton,CAR,498.6,298,"3,697.50",27.1,12,121.6,630.7,7,3.5,330.3
Aaron Rodgers,GB,565.4,357.6,"4,217.10",35,7.6,56.4,275.7,2,3.2,326.6
Russell Wilson,SEA,476.6,306,"3,746.50",28.9,11,105.2,581.9,3.4,3,315.8
Andrew Luck,IND,620.9,365.1,"4,239.40",32.9,17.4,63.2,284.8,2.2,3.7,300.8
Drew Brees,NO,641.6,432.3,"4,808.90",31.5,14.7,23.8,42.7,1,3.1,293.1
Ben Roethlisberger,PIT,585.4,383.7,"4,636.20",29.7,14.4,25.5,61.9,0.8,2.4,281.8
Carson Palmer,ARI,569.5,358.2,"4,430.50",30.4,13.9,23.1,58.8,0.9,3.3,275.5
Blake Bortles,JAC,564.6,330.5,"3,923.10",28.4,17.7,55.5,310.7,2,4.3,269.8
Tyrod Taylor,BUF,465.1,286.4,"3,409.90",21,11.2,106.4,541.2,3.5,2.6,268.2
Philip Rivers,SD,623.8,406.4,"4,526.60",28.7,16,24.5,50.7,0.2,3.2,264
Eli Manning,NYG,598.6,373.8,"4,314.80",29.5,14.8,21.4,65.6,0.6,3.5,264
Andy Dalton,CIN,512.9,325.9,"3,865.80",25.6,12.5,61.7,192,2.7,3.5,260.5
Matthew Stafford,DET,581.7,372.1,"4,186.50",25.9,14.3,37.1,126.7,1.5,3.3,257.4
Kirk Cousins,WAS,552.9,359.4,"4,177.30",26.1,15,28.6,75.4,2.5,3.7,256.5
Jameis Winston,TB,536,320.6,"3,925.60",23.4,15.5,52.3,210.4,3.8,3.6,256.4
Tony Romo,DAL,521,344,"3,916.00",29.3,12.9,25.9,71.6,0.7,3.5,252.7
Derek Carr,OAK,591.9,357.6,"3,923.50",28.4,14.1,31.1,116.1,0.7,3.7,250.8
Matt Ryan,ATL,610.5,403.1,"4,485.70",25,15.9,31.9,74.5,0.3,3.7,249.7
Ryan Tannehill,MIA,583.8,363.2,"4,085.90",24,14,38.6,172.1,1,3.2,248.1
Alex Smith,KC,478.9,305.1,"3,391.00",21.3,9.7,73.5,397.1,2,2.8,247.5
Ryan Fitzpatrick,NYJ,541.7,320,"3,653.40",23.8,15.4,60.1,268.1,2.2,2.4,245.6
Marcus Mariota,TEN,496.2,306.4,"3,550.30",20.6,14.8,60.4,393.2,3,4.6,242.5
Tom Brady,NE,473.8,302.2,"3,459.40",25.8,7,27.5,50.4,1.5,2,237.5
Joe Flacco,BAL,589.7,359.9,"4,020.80",24.2,15.2,29.2,60.7,1.7,3.7,235.9
Jay Cutler,CHI,526.3,333.9,"3,804.20",23.4,15.8,40.3,178.5,1.3,3.6,232.4
Brock Osweiler,HOU,540.9,328.1,"3,816.70",23.5,14.3,47.1,128.4,1.3,3.8,231.2
Teddy Bridgewater,MIN,470.3,296.5,"3,322.50",19,12.1,52.7,262.6,2.5,3,220
Robert Griffin,CLE,451.1,278.4,"3,242.10",16,13.9,56.5,263.7,1.5,3.8,194.2
Jared Goff,LA,484.5,293.1,"3,328.80",17.6,15.2,41.4,145.4,1.2,3.3,188.4
Sam Bradford,PHI,455.4,282.1,"3,097.60",17.6,11.8,21.4,52.6,0.5,3.2,172.6
Mark Sanchez,DEN,385.9,232.8,"2,632.80",15.6,13.3,30.6,89.5,0.7,3.2,147.7
Blaine Gabbert,SF,350.2,209.3,"2,355.90",11.5,9.9,42.1,207.1,1.4,2,145.6
Colin Kaepernick,SF,180.7,102.4,"1,146.00",5.7,5.2,31.7,159,0.8,2,75
Paxton Lynch,DEN,143.2,83.6,967.1,5.6,4.3,15.2,55.4,0.4,0.5,59.2
Jimmy Garoppolo,NE,151.4,89.6,989.5,6.2,3.7,6.6,16.5,0.2,0.7,58.3
Josh McCown,CLE,109.5,65.1,737.9,4.3,3.2,8.5,36.6,0.2,0.6,43.8
Carson Wentz,PHI,97.9,60.1,668.4,3.5,3.2,9.4,38.2,0.3,0.7,38.8
Trevor Siemian,DEN,54.3,32.7,365,3,2,4.7,17.7,0.1,0.4,24.4
Chase Daniel,PHI,40.3,24.9,284.7,1.8,0.6,3.2,11.7,0,0,18.9
Geno Smith,NYJ,36.8,22.2,252.1,1.5,1,5.4,18.6,0.1,0.2,16.2
Brian Hoyer,CHI,38.3,22.9,268.3,1.7,1.2,1.8,6.9,0,0.3,15.1
Christian Hackenberg,NYJ,34.2,20.6,230.2,1.4,1,2.9,10.6,0.1,0.2,14.1
Kellen Moore,DAL,30.3,18.3,214.6,1.4,0.9,1.7,4.3,0.1,0.1,12.9
Landry Jones,PIT,29.9,17.1,194.5,1.3,1,3.3,10,0.1,0.1,12.5
Matt Flynn,NO,30.1,17.8,204.6,1.2,1.1,2.8,10.3,0.1,0.2,11.8
Trevone Boykin,SEA,29,18,196,1,1,5,19,0,0,11.7
AJ McCarron,CIN,25,15.2,177.5,1.1,0.4,1.4,4.5,0.1,0.1,11.4
E.J. Manuel,BUF,30.3,18.2,204.9,1,1,3.1,11.2,0.1,0.3,11.4
Case Keenum,LA,28.7,17,190.8,1.1,0.6,1.5,5.6,0,0.2,10.8
Aaron Murray,KC,28,16.5,191,0.8,0.3,1,4.5,0,0,10.8
David Fales,CHI,33,19,208,1,1.2,2,5,0,0.1,10.2
Drew Stanton,ARI,26,15.3,179.9,0.9,0.6,1.3,5,0,0.1,10
Brandon Weeden,HOU,27.6,16.6,190.5,0.9,1,1.5,4.4,0,0.2,9.4
Zach Mettenberger,SD,28.9,16.1,163.9,0.7,1.1,3.1,15.8,0.1,0.3,8.9
Mike Glennon,TB,25.2,15.2,170.3,0.6,0.6,1.3,3.7,0,0.2,8.2
Shaun Hill,MIN,21.8,13.2,149.7,0.8,0.5,1.5,2.9,0,0.1,8.1
Colt McCoy,WAS,17.8,11,130.4,0.7,0.3,1.1,2.3,0,0.1,7.5
Dan Orlovsky,DET,22.4,13.1,147,0.7,0.6,1.1,2.5,0,0.2,7.4
Chad Henne,JAC,19,11.1,124.2,0.8,0.5,1,3.9,0,0.2,7.3
Ryan Mallett,BAL,22,12.7,139.9,0.6,0.6,1,3.7,0,0.1,7.2
Bruce Gradkowski,PIT,16,9.7,115.3,0.7,0.3,0.7,2,0,0,6.8
Matt Cassel,TEN,21.8,12.8,150.4,0.5,0.9,0.6,2.2,0,0,6.6
Matt McGloin,OAK,18.9,11.5,122.8,0.7,0.5,0.9,2.3,0,0.2,6.6
Scott Tolzien,IND,15.7,9.2,99.6,0.6,0.4,0.8,2.4,0.1,0.2,5.7
Derek Anderson,CAR,13.8,8.5,98.7,0.5,0.4,1,2.4,0.1,0.1,5.6
Kellen Clemens,SD,11.7,7,83.9,0.5,0.1,0.7,0.3,0,0.1,4.9
Ryan Nassib,NYG,8.7,5.6,63.8,0.5,0.4,0.7,0.5,0,0,4
Matt Moore,MIA,8.1,5,58.3,0.4,0.2,0.6,-0.1,0,0,3.3
Matt Schaub,ATL,10.2,6.4,63.2,0.3,0.4,0.3,0.5,0,0.2,2.7
Luke McCown,NO,7,4.3,44.5,0.2,0.1,0.4,0.8,0,0,2.3
Brett Hundley,GB,6,4,42,0,0,0,0,0,0,1.7
Austin Davis,CLE,0,0,0,0,0,0,0,0,0,0
Sean Renfree,ATL,0,0,0,0,0,0,0,0,0,0
Zac Dysert,MIA,0,0,0,0,0,0,0,0,0,0
Matt Simms,ATL,0,0,0,0,0,0,0,0,0,0
Josh Johnson,BAL,0,0,0,0,0,0,0,0,0,0
Jimmy Clausen,FA,0,0,0,0,0,0,0,0,0,0
Matt Barkley,ARI,0,0,0,0,0,0,0,0,0,0
Tom Savage,HOU,0,0,0,0,0,0,0,0,0,0
Joe Webb,CAR,0,0,0,0,0,0,0,0,0,0
Dan LeFevour,TB,0,0,0,0,0,0,0,0,0,0
Jerrod Johnson,BAL,0,0,0,0,0,0,0,0,0,0
Thad Lewis,SF,0,0,0,0,0,0,0,0,0,0
Nick Foles,FA,0,0,0,0,0,0,0,0,0,0
Alex Tanney,TEN,0,0,0,0,0,0,0,0,0,0
